person_name,user_name,email,personal_number,birth_date,address,phone_number,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Antonie Eftimie,antonieeftimie,antonieeftimie@acasa.ro,1960706269499,1925-08-14,"Intrarea Marin Nr. 324 Bl. 81  Sc. 79 Ap. 369, Harlau, 252051",0252 405 355,d0:71:24:a6:58:b1,20.131.81.235,RO19RKQE5498552327647656,2025-04-04 17:16:32,13090,897,4,292536,efef4abb-d5a0-49f1-8e1a-99df37f71577
Anghel Toma,angheltoma,angheltoma@email.ro,7800419313830,2002-07-05,"Bulevardul Popescu Nr. 99 Bl. 11  Sc. 66 Ap. 136, Ovidiu, 269206",0746 056 590,98:b1:a2:5a:31:a8,20.146.110.110,RO39IGFE5587394962803871,2025-04-04 17:16:32,21453,152,106,197573,a7956749-f22b-4834-a906-e09437df3524
Ionel Cristea,ionelcristea,ionelcristea@kappa.ro,6770802153506,2020-02-28,"Strada Manole Nr. 187, Saveni, 608633",0731 935 274,aa:25:d1:50:c8:4c,149.122.30.177,RO06BUDC0503238738694082,2025-04-04 17:16:32,6755,422,284,1840458,1972184e-c8da-40c0-8501-7cc86154a9ae
Valeriu Tabacu,valeriutabacu,valeriutabacu@zzup.ro,4740130024832,1979-07-13,"Drumul Radu Albu Nr. 199 Bl. 53  Sc. 68 Ap. 804, Lunca Cetatuii, 596509",0235 013 143,f0:3b:93:26:95:0b,33.133.190.59,RO34EALI2232267364372780,2025-04-04 17:16:32,28279,1,163,1562684,b3595189-a125-41b2-aa04-b8ca97f66554
Melina Dochioiu,melinadochioiu,melinadochioiu@141.ro,5370422141379,1946-01-29,"Soseaua Preda, Talmaciu, 361677",0234 505 524,4a:18:5d:d0:cc:e1,109.197.1.206,RO75YONV1090236766051534,2025-04-04 17:16:32,21274,911,494,1955495,9369a4ea-c2d4-4364-8244-ec1f8af99ea3
Tamara Stănescu,tamarastănescu,tamarastănescu@post.ro,5941120015601,1951-08-10,"Aleea Iuliana Stancu Nr. 38, 1 Decembrie, 268530",0772 101 959,0a:a4:fa:2c:c5:c4,58.86.183.251,RO69MJMR0723497428475154,2025-04-04 17:16:32,11107,621,786,356205,bc314a9f-8d96-4a46-9593-8813f9a3f25e
Floarea Ioniță,floareaioniță,floareaioniță@141.ro,1970709315437,1942-05-06,"Intrarea Georgescu Nr. 657, Medgidia, 667189",0754 574 718,8a:96:95:a0:cb:37,39.203.67.87,RO40VEQP0959112552912742,2025-04-04 17:16:32,19372,114,44,33370,082e2b79-0c6f-4619-935f-f8e521f76562
Lelia Mocanu,leliamocanu,leliamocanu@email.ro,4160430430442,2018-05-18,"Bulevardul Stănescu Nr. 955 Bl. 42  Sc. 34 Ap. 811, Jibou, 995245",0264 655 959,3a:22:33:47:58:0e,192.77.239.220,RO94MJPO9203978805276581,2025-04-04 17:16:32,5314,80,153,753275,6f5eab72-19ed-43c0-baca-88dca63b8ba1
Demetra Pușcașu,demetrapușcașu,demetrapușcașu@post.ro,1001009189509,1955-07-23,"Drumul Preda Nr. 742 Bl. 50  Sc. 89 Ap. 304, Beius, 158396",0268 560 430,12:ff:7f:03:61:d4,29.172.233.237,RO11WJBZ1307958306870866,2025-04-04 17:16:32,10405,242,590,1138755,a5ee58c3-d63c-468d-82d0-92cd7a003fe2
Ruxandra Stoica,ruxandrastoica,ruxandrastoica@gmail.com,8560529206579,1922-11-04,"Drumul Marin Nr. 920 Bl. 60  Sc. 53 Ap. 141, Onesti, 931680",0236 624 313,96:f3:20:67:1a:9f,76.99.20.171,RO87KMXC8096196791222698,2025-04-04 17:16:32,13861,807,113,1536116,ad23e040-30a3-4008-b7ee-1a908ddae657
Patricia Toma,patriciatoma,patriciatoma@zzup.ro,6651115365916,2009-09-25,"Intrarea Dumitrescu Nr. 58 Bl. 68  Sc. 46 Ap. 472, Iernut, 980930",0261 099 669,54:a3:b8:09:57:97,183.240.163.215,RO97OPNW0252669343540514,2025-04-04 17:16:32,5540,17,457,379046,776a398c-da1a-4590-af6e-4f498c253eef
Sever Dumitrescu,severdumitrescu,severdumitrescu@kappa.ro,6860602259651,1924-12-29,"Intrarea Nistor Nr. 889, Bals, 734678",0788 557 841,32:b8:bc:39:8c:9a,212.184.123.136,RO62PRMU7769234519405070,2025-04-04 17:16:32,10683,923,745,223912,b66884b3-b493-4ba5-b570-dbc3b886ae39
Nicolae Eftimie,nicolaeeftimie,nicolaeeftimie@acasa.ro,1340911373689,1995-10-09,"Bulevardul Tabacu Nr. 70 Bl. 55  Sc. 54 Ap. 220, Bistrita, 762796",0753 942 392,f4:38:12:2b:c0:df,70.54.237.191,RO24SWPR3539863491387553,2025-04-04 17:16:32,27438,997,68,395244,58af9f7d-f2bd-463b-96cd-05fce0dab1c5
Georgiana Preda,georgianapreda,georgianapreda@141.ro,5660529090171,1959-06-02,"Soseaua Paulina Oprea, Baia Mare, 525827",0721 761 029,68:23:46:8e:10:32,216.235.115.101,RO34JHAP0791881930697156,2025-04-04 17:16:32,25690,285,758,1378214,6fb80c8e-c53c-446e-95d0-858d3a3756a6
Adelaida Nistor,adelaidanistor,adelaidanistor@141.ro,2320202406597,2022-01-05,"Intrarea Stoica, Intorsura Buzaului, 473226",0724 800 143,04:84:5a:f9:6f:3d,195.64.149.72,RO96JQDP7753300266767751,2025-04-04 17:16:32,12936,814,19,138634,c7f2c62d-5372-4920-a064-18f9d8a737c7
Raul Eftimie,rauleftimie,rauleftimie@post.ro,6500702449796,1910-07-18,"Aleea Florica Tudor Nr. 20 Bl. 49  Sc. 56 Ap. 236, Gugesti, 683100",0785 307 198,f0:06:4a:d6:cc:43,85.151.183.178,RO30YWMH7803253445238674,2025-04-04 17:16:32,27755,936,368,783840,b91e478f-d243-4cc5-8611-63fa3ed5612f
Vlaicu Marin,vlaicumarin,vlaicumarin@kappa.ro,7691102528551,1933-08-29,"Drumul Haralamb Tomescu, Feldru, 366892",0755 016 374,34:57:e0:18:29:83,19.100.21.162,RO51AMPQ9769452212846477,2025-04-04 17:16:32,7237,10,241,1107370,28e03cdd-1c22-48ca-afa1-4ebb0ee9ace5
Cătălina Diaconu,cătălinadiaconu,cătălinadiaconu@kappa.ro,3791111167032,2008-06-20,"Soseaua Dumitrescu Nr. 200 Bl. 80  Sc. 96 Ap. 139, Gugesti, 110186",0263 289 185,9e:86:5d:ae:f7:8b,27.141.66.199,RO36DASY7223401652057571,2025-04-04 17:16:32,24913,816,280,796751,ac8dfd6e-a82e-4af1-9d87-645a383ec667
Isabela Popescu,isabelapopescu,isabelapopescu@acasa.ro,5481022070481,1948-06-19,"Strada Clarisa Stănescu Nr. 351, Tuzla, 199569",0727 872 296,94:b9:8a:86:80:85,123.204.205.23,RO49ALWO5157416495562572,2025-04-04 17:16:32,11713,130,29,988481,5b62d7d1-b655-4dcd-b211-b8a63953d51a
Doina Popescu,doinapopescu,doinapopescu@email.ro,4860203068845,1916-01-09,"Aleea Suciu Nr. 87 Bl. 26  Sc. 96 Ap. 398, Gura Humorului, 716571",0731 920 266,7e:fa:c8:b0:3d:b1,212.7.138.252,RO90BAVN3301908107391776,2025-04-04 17:16:32,5621,612,99,1879214,9d51f42b-5e84-4e11-bcb6-b0f7704983dd
Virginia Pușcașu,virginiapușcașu,virginiapușcașu@post.ro,7390727191134,1921-08-02,"Intrarea Dochioiu Nr. 395 Bl. 45  Sc. 28 Ap. 109, 1 Decembrie, 978835",0756 109 819,60:48:03:2f:9c:2f,201.2.111.97,RO83UVSK0461240628783783,2025-04-04 17:16:32,34965,346,119,1167340,fbaf5062-9f64-4c65-a970-e8a6401ed9fc
Dragoș Tabacu,dragoștabacu,dragoștabacu@acasa.ro,3160402274324,1943-10-27,"Aleea Floarea Toma, Satu Mare, 430802",0260 048 880,a8:ee:cb:93:59:b7,18.249.63.60,RO88EWEZ1482998840592859,2025-04-04 17:16:32,9347,669,603,1534227,639d3fed-5761-47ac-8df8-ab713ea45e12
Rada Nemeș,radanemeș,radanemeș@gmail.com,4920501238382,1965-01-06,"Drumul Mocanu Nr. 49 Bl. 64  Sc. 74 Ap. 519, Pechea, 419795",0732 761 309,da:a3:7c:a3:4a:f8,99.120.220.209,RO54IFDJ9547859388353030,2025-04-04 17:16:32,18406,570,522,284093,851432c2-0c4f-46d8-addc-2cb006def841
Dorian Albu,dorianalbu,dorianalbu@141.ro,6520523012083,1920-06-30,"Intrarea Preda, Bistrita, 680438",0731 705 560,0e:72:91:3c:77:8d,68.231.155.85,RO39ZKHO7416824780208440,2025-04-04 17:16:32,35442,381,738,670500,ecc39e72-574b-44dc-aedf-582a2aade2bf
Eftimia Dinu,eftimiadinu,eftimiadinu@kappa.ro,6170209109120,1979-05-23,"Aleea Barbu Nr. 20, Curtici, 804769",021 109 0920,d4:f8:f3:55:d9:07,182.53.172.236,RO57ZHYQ0901686374896332,2025-04-04 17:16:32,17611,186,437,279504,6200b73f-7b22-4394-9c96-fb163c389270
Mihnea Ene,mihneaene,mihneaene@acasa.ro,1241029356136,1959-12-19,"Intrarea Anastasia Ardelean Nr. 37, Baia Mare, 787022",0722 386 742,e2:cc:89:3a:fc:42,49.118.105.249,RO37HBPD1327542394340013,2025-04-04 17:16:32,2345,437,427,1993467,7347d5b7-83b4-45e3-b2ba-53e4368b7123
Romulus Dobre,romulusdobre,romulusdobre@post.ro,2450904151471,1999-11-22,"Intrarea Erica Stan Nr. 34 Bl. 77  Sc. 59 Ap. 757, Gherla, 330568",0249 172 767,3c:9c:40:09:8b:f0,108.101.38.99,RO31PGWD5859071104608955,2025-04-04 17:16:32,2298,418,654,1483756,42c796e5-621e-452b-9599-5c32fc9f378a
Ileana Dinu,ileanadinu,ileanadinu@acasa.ro,6020922192811,2004-07-22,"Aleea Tabacu Nr. 89, Bumbesti-Jiu, 954800",0764 498 366,46:a8:34:b8:17:a6,185.135.12.75,RO45EJAS9139379886446502,2025-04-04 17:16:32,25606,488,261,1349629,dfab191b-b807-47ac-88ed-93fd1c37c083
Olimpiu Diaconu,olimpiudiaconu,olimpiudiaconu@gmail.com,6110303514002,1930-03-04,"Aleea Diaconescu, Mihail Kogalniceanu, 186630",0256 706 994,0a:72:51:c1:cd:48,114.45.57.49,RO16WFHG2390246688645216,2025-04-04 17:16:32,4282,72,620,669601,cbd5e92b-3884-4700-bdc1-a83fb5e59aff
