person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Daria Barbu,dariabarbu,dariabarbu@post.ro,7010603262921,1947-10-28,"Intrarea Toma, Baciu, 401539",0764 061 925,be:47:43:fd:01:41,84.151.67.100,RO24LCIZ6861309693083919,2024-05-17 10:53:18,29487,220,729,1334836,7e2b0c91-adf0-4616-bd82-12fac0422a10
Miron Aanei,mironaanei,mironaanei@acasa.ro,3800203306904,1945-11-08,"Intrarea Georgescu Nr. 249 Bl. 39  Sc. 44 Ap. 529, Otopeni, 630556",0253 050 064,62:f2:cf:76:b8:90,181.227.88.195,RO62GINF9571312106636368,2024-11-05 02:05:35,113,236,722,35096,1cf3e821-5b3d-40e3-ab5b-85e11cf4f63f
Elisabeta Nistor,elisabetanistor,elisabetanistor@zzup.ro,2000209111915,1980-12-14,"Aleea Xenia Dumitrescu Nr. 39, Sebis, 737858",0721 870 311,9e:60:99:ca:f7:bd,70.144.222.40,RO11BFNW7774136826615000,2025-04-13 00:29:27,8273,740,393,626748,449106b6-1eab-4ed4-abf1-853a5ad025e9
Denis Ioniță,denisioniță,denisioniță@gmail.com,8800411201851,1985-03-30,"Bulevardul Niță, Fundeni, 754755",0758 121 396,0a:3d:61:8a:9b:ad,201.37.71.69,RO23TJYG5534081697680871,2025-04-05 15:40:26,6987,734,92,1221004,42994c8f-2092-492c-a909-4c40450b3052
Oana Suciu,oanasuciu,oanasuciu@acasa.ro,4420622139633,1911-07-21,"Aleea Zenobia Georgescu, Fundulea, 904784",0735 995 643,36:b3:7e:1e:3a:7c,96.52.34.240,RO56ACZF2584015983395197,2024-05-20 21:53:06,29933,135,383,1977977,34e27420-fc13-42c8-aa09-ea2084b8c069
Manuela Mocanu,manuelamocanu,manuelamocanu@gmail.com,1271024298266,1927-09-22,"Drumul Cristina Marin Nr. 213, Eforie Nord, 686098",0755 588 350,17:41:0b:91:7c:39,23.131.39.188,RO90DKNC8277754518235020,2024-10-27 05:29:33,22222,463,198,1310486,21d58aa8-34d9-4dab-946b-7f9ec17c4cdf
Ilona Florea,ilonaflorea,ilonaflorea@zzup.ro,7370822028362,1933-07-11,"Drumul Stănescu Nr. 25, Gaesti, 827898",0725 057 507,a9:37:6d:e4:b6:51,32.97.102.126,RO46YMBA2490535052867072,2024-11-25 13:00:34,18086,840,478,1173292,36a68bc4-bbd1-4558-bf08-5b0374449098
Mugur Ene,mugurene,mugurene@email.ro,4260113427627,1962-07-21,"Drumul Barbu Nr. 784, Insuratei, 138982",021 384 7175,d6:63:f5:b0:13:3d,76.44.45.239,RO80BGPH1758764839414548,2024-08-20 02:38:34,19590,350,349,1188488,95a5c75e-6a6f-43ef-9792-773677c2daa7
Zeno Popescu,zenopopescu,zenopopescu@gmail.com,5350631308885,1990-12-22,"Soseaua Stancu, Moreni, 541001",0253 768 068,c8:26:75:bd:f4:ad,146.212.31.251,RO88DUOZ7852118442624221,2025-03-03 08:39:25,7626,655,160,902385,2c934fad-d390-4d32-bbba-c663df47e663
Anica Tabacu,anicatabacu,anicatabacu@post.ro,1511226064666,1961-03-19,"Aleea Sebastian Pop Nr. 53, Oltenita, 670505",0743 058 128,04:70:91:1a:39:cc,195.114.173.25,RO32QERG8772874483280826,2024-07-24 13:29:03,820,755,411,1782519,d8ce6247-626c-41b5-9ca5-ec59fd6ab299
